frame,confidence,offset_px,offset_norm,steering_angle,command,warning
0,0.11014419367283951,-106,-0.165625,-4.96875,RIGHT,0
1,0.1101634837962963,-106,-0.165625,-4.96875,RIGHT,0
2,0.11076147762345678,-98,-0.153125,-4.59375,RIGHT,0
3,0.11076147762345678,-98,-0.153125,-4.59375,RIGHT,0
4,0.10984278549382716,-90,-0.140625,-4.21875,RIGHT,0
5,0.11068672839506173,-84,-0.13125,-3.9375,RIGHT,0
6,0.11068672839506173,-84,-0.13125,-3.9375,RIGHT,0
7,0.11164641203703704,-79,-0.1234375,-3.703125,RIGHT,0
8,0.11169704861111111,-79,-0.1234375,-3.703125,RIGHT,0
9,0.11014419367283951,-90,-0.140625,-4.21875,RIGHT,0
10,0.11014419367283951,-90,-0.140625,-4.21875,RIGHT,0
11,0.11059751157407408,-89,-0.1390625,-4.171875,RIGHT,0
12,0.10991271219135802,-94,-0.146875,-4.40625,RIGHT,0
13,0.10988618827160494,-94,-0.146875,-4.40625,RIGHT,0
14,0.10904224537037037,-99,-0.1546875,-4.640625,RIGHT,0
15,0.10904224537037037,-99,-0.1546875,-4.640625,RIGHT,0
16,0.11015625,-95,-0.1484375,-4.453125,RIGHT,0
17,0.11005015432098765,-95,-0.1484375,-4.453125,RIGHT,0
18,0.10716869212962964,-131,-0.2046875,-6.140625,RIGHT,0
19,0.10716869212962964,-131,-0.2046875,-6.140625,RIGHT,0
20,0.1072096836419753,-131,-0.2046875,-6.140625,RIGHT,0
21,0.10720244984567902,-132,-0.20625,-6.1875,RIGHT,0
22,0.10721209490740741,-132,-0.20625,-6.1875,RIGHT,0
23,0.10721209490740741,-132,-0.20625,-6.1875,RIGHT,0
24,0.1072313850308642,-132,-0.20625,-6.1875,RIGHT,0
25,0.10725067515432099,-131,-0.2046875,-6.140625,RIGHT,0
26,0.10725067515432099,-131,-0.2046875,-6.140625,RIGHT,0
27,0.1078125,-133,-0.2078125,-6.234375,RIGHT,0
28,0.10697579089506173,-134,-0.209375,-6.28125,RIGHT,0
29,0.10696373456790123,-134,-0.209375,-6.28125,RIGHT,0
30,0.11720196759259259,-76,-0.11875,-3.5625,RIGHT,0
31,0.11720196759259259,-76,-0.11875,-3.5625,RIGHT,0
32,0.11492814429012346,-81,-0.1265625,-3.796875,RIGHT,0
33,0.11489679783950617,-82,-0.128125,-3.8437499999999996,RIGHT,0
34,0.10881799768518519,-94,-0.146875,-4.40625,RIGHT,0
35,0.10535059799382716,-114,-0.178125,-5.34375,RIGHT,0
36,0.10550974151234568,-114,-0.178125,-5.34375,RIGHT,0
37,0.10433063271604938,-120,-0.1875,-5.625,RIGHT,0
38,0.10386043595679012,-123,-0.1921875,-5.765625,RIGHT,0
39,0.10395688657407408,-122,-0.190625,-5.71875,RIGHT,0
40,0.10395688657407408,-122,-0.190625,-5.71875,RIGHT,0
41,0.1007716049382716,-140,-0.21875,-6.5625,RIGHT,0
42,0.1007836612654321,-140,-0.21875,-6.5625,RIGHT,0
43,0.10898196373456791,-91,-0.1421875,-4.265625,RIGHT,0
44,0.10881317515432098,-87,-0.1359375,-4.078125,RIGHT,0
45,0.10881317515432098,-87,-0.1359375,-4.078125,RIGHT,0
46,0.1144410686728395,-60,-0.09375,-2.8125,RIGHT,0
47,0.11419029706790124,-61,-0.0953125,-2.859375,RIGHT,0
48,0.11458092206790123,-62,-0.096875,-2.90625,RIGHT,0
49,0.11457127700617284,-62,-0.096875,-2.90625,RIGHT,0
50,0.11716097608024692,-58,-0.090625,-2.71875,RIGHT,0
51,0.11675829475308643,-60,-0.09375,-2.8125,RIGHT,0
52,0.11677517361111112,-60,-0.09375,-2.8125,RIGHT,0
53,0.11468701774691357,-77,-0.1203125,-3.609375,RIGHT,0
54,0.11471595293209877,-77,-0.1203125,-3.609375,RIGHT,0
55,0.11120997299382716,-102,-0.159375,-4.78125,RIGHT,0
56,0.11120997299382716,-102,-0.159375,-4.78125,RIGHT,0
57,0.11118827160493827,-103,-0.1609375,-4.828125,RIGHT,0
58,0.11202739197530864,-96,-0.15,-4.5,RIGHT,0
59,0.11197916666666667,-97,-0.1515625,-4.546875,RIGHT,0
60,0.11027681327160493,-100,-0.15625,-4.6875,RIGHT,0
61,0.11027681327160493,-100,-0.15625,-4.6875,RIGHT,0
62,0.10925443672839506,-103,-0.1609375,-4.828125,RIGHT,0
63,0.10926408179012345,-103,-0.1609375,-4.828125,RIGHT,0
64,0.1035108024691358,-118,-0.184375,-5.53125,RIGHT,0
65,0.1035108024691358,-118,-0.184375,-5.53125,RIGHT,0
66,0.10088252314814815,-137,-0.2140625,-6.421875,RIGHT,0
67,0.10126350308641975,-136,-0.2125,-6.375,RIGHT,0
68,0.10126350308641975,-136,-0.2125,-6.375,RIGHT,0
69,0.10031105324074074,-145,-0.2265625,-6.796875,RIGHT,0
70,0.10030140817901234,-145,-0.2265625,-6.796875,RIGHT,0
71,0.10054012345679013,-145,-0.2265625,-6.796875,RIGHT,0
72,0.10054012345679013,-145,-0.2265625,-6.796875,RIGHT,0
73,0.10073061342592593,-146,-0.228125,-6.84375,RIGHT,0
74,0.10093074845679012,-146,-0.228125,-6.84375,RIGHT,0
75,0.10095486111111111,-146,-0.228125,-6.84375,RIGHT,0
